run,model,preprocessing,augmentation,precision,batch_size,partitioning,lr,lr_schedule,optimizer_momentum,optimizer,internal,n_parameters,test_accuracy,last_accuracy,last_val_accuracy,avg_gpu_power_watts
060,resnet50,standardization,mixup,global_policy_float16,128,80-10-10,0.00625,exponential,0.9,SGD,jit_compilation,23792612,0.874,0.860409,0.867388,142.5726923076923
061,resnet50,standardization,None,global_policy_float16,128,70-15-15,0.00625,exponential,0.9,RMSProp,post_quantization,23792612,0.009,0.497077,0.008351,168.18557692307692
062,resnet50,standardization,cutmix,float16,32,90-5-5,0.0008,exponential,0.9,Adam,jit_compilation,23792612,0.379,0.350965,0.385417,156.47000000000003
063,resnet50,standardization,mixup,float16,64,90-5-5,0.00625,constant,0.0,RMSProp,jit_compilation,23792612,0.007,0.009923,0.009615,151.52269230769232
064,resnet50,None,random,float64,64,60-20-20,0.0008,constant,0.5,AdamW,jit_compilation,23792612,0.021,0.307836,0.023037,194.4225
065,resnet50,None,mixup,float16,32,90-5-5,0.00625,cosine,0.9,SGD,post_quantization,23846055,0.008,0.062211,0.061699,171.41615384615386
066,resnet50,minmax,None,float64,128,90-5-5,0.0008,constant,0.5,SGD,jit_compilation,23792612,0.798,1.0,0.775493,200.19615384615386
067,resnet50,robust_scaling,mixup,float16,4,60-20-20,0.00015,cosine,0.5,Adam,None,23792612,0.014,0.0136,0.0151,140.2157692307693
068,resnet50,minmax,random,float64,32,60-20-20,0.00625,exponential,0.99,AdamW,None,23792612,0.013,0.149226,0.011537,188.12903846153839
069,resnet50,minmax,None,global_policy_float16,4,60-20-20,0.00015,constant,0.5,SGD,post_quantization,23792612,0.134,0.772667,0.1496,121.95173076923076
070,resnet50,None,None,float32,32,60-20-20,0.00015,exponential,0.0,AdamW,jit_compilation,23792612,0.01,0.046016,0.010433,171.6086538461538
071,resnet50,None,mixup,float64,128,70-15-15,0.01,exponential,0.0,Adam,None,23792612,0.434,0.493982,0.435749,189.7278846153846
072,resnet50,robust_scaling,random,float16,32,70-15-15,0.00625,exponential,0.9,AdamW,None,23792612,0.01,0.142061,0.010417,184.12326923076927
073,resnet50,robust_scaling,cutmix,global_policy_float16,32,80-10-10,0.01,constant,0.9,Adam,jit_compilation,23792612,0.244,0.255402,0.235176,120.1317307692308
074,resnet50,None,None,float64,32,60-20-20,0.00015,cosine,0.99,AdamW,post_quantization,23846055,0.011,0.010545,0.009731,188.62615384615387
075,resnet50,standardization,random,float64,64,60-20-20,0.01,polynomial,0.99,Adam,None,23792612,0.554,0.808535,0.543069,211.70423076923075
076,resnet50,robust_scaling,random,float64,32,60-20-20,0.00625,cosine,0.0,Adam,None,23792612,0.036,0.037707,0.038523,192.4878846153846
077,resnet50,None,mixup,float64,4,90-5-5,0.00625,polynomial,0.9,RMSProp,jit_compilation,23792612,0.008,0.010733,0.0072,157.80673076923082
078,resnet50,standardization,None,float16,64,80-10-10,0.0008,exponential,0.5,RMSProp,jit_compilation,23792612,0.963,0.994325,0.959535,183.95711538461543
079,resnet50,minmax,random,global_policy_float16,32,80-10-10,0.00625,polynomial,0.5,Adam,jit_compilation,23792612,0.582,0.935549,0.594952,123.5594230769231
080,resnet50,robust_scaling,random,global_policy_float16,32,60-20-20,0.00015,constant,0.9,Adam,post_quantization,23792612,0.863,0.946376,0.860052,125.45288461538462
081,resnet50,minmax,random,global_policy_float16,4,70-15-15,0.00625,polynomial,0.99,SGD,None,23792612,0.01,0.009829,0.0112,122.24346153846153
082,resnet50,None,cutmix,float32,128,70-15-15,0.01,constant,0.99,AdamW,jit_compilation,23792612,0.08,0.2308,0.081492,174.86653846153837
083,resnet50,minmax,None,global_policy_float16,32,90-5-5,0.0008,constant,0.9,AdamW,post_quantization,23792612,0.009,0.192814,0.010016,119.68403846153845
084,resnet50,standardization,mixup,float16,32,90-5-5,0.0008,constant,0.9,Adam,None,23792612,0.848,0.787842,0.845753,170.19538461538465
085,resnet50,None,cutmix,float32,128,70-15-15,0.00015,exponential,0.0,Adam,post_quantization,23846055,0.011,0.487678,0.470097,188.05846153846156
086,resnet50,robust_scaling,cutmix,float32,4,60-20-20,0.00625,cosine,0.9,Adam,jit_compilation,23792612,0.01,0.010267,0.0095,162.97269230769223
087,resnet50,minmax,None,float64,4,70-15-15,0.00015,polynomial,0.5,Adam,jit_compilation,23792612,0.174,0.198086,0.178533,165.1326923076923
088,resnet50,robust_scaling,random,float64,128,70-15-15,0.0008,cosine,0.5,SGD,None,23792612,0.082,0.109497,0.080145,199.95192307692307
089,resnet50,standardization,cutmix,float32,128,80-10-10,0.01,exponential,0.99,SGD,None,23792612,0.258,0.266722,0.265825,168.51403846153846
090,resnet50,None,None,float64,4,80-10-10,0.00625,polynomial,0.0,Adam,post_quantization,23846055,0.01,0.944,0.1572,132.64442307692303
091,resnet50,None,random,float16,64,80-10-10,0.00015,polynomial,0.9,AdamW,None,23792612,0.022,0.257325,0.021835,186.97557692307691
092,resnet50,robust_scaling,random,global_policy_float16,4,90-5-5,0.00015,polynomial,0.9,AdamW,jit_compilation,23792612,0.01,0.010422,0.0104,112.5375
093,resnet50,robust_scaling,random,float64,32,80-10-10,0.00015,constant,0.99,Adam,post_quantization,23846055,0.01,0.965511,0.910256,144.01865384615382
094,resnet50,None,cutmix,float32,64,60-20-20,0.0008,exponential,0.0,SGD,jit_compilation,23792612,0.151,0.139392,0.153646,167.60365384615383
095,resnet50,standardization,random,float64,4,90-5-5,0.00015,exponential,0.9,RMSProp,None,23792612,0.074,0.120956,0.0824,129.3584615384615
096,resnet50,minmax,None,float32,4,90-5-5,0.00625,polynomial,0.99,SGD,post_quantization,23846055,0.006,0.022067,0.0136,130.26230769230773
097,resnet50,standardization,cutmix,float64,64,80-10-10,0.01,cosine,0.9,RMSProp,post_quantization,23846055,0.009,0.0363,0.030649,156.1321153846154
098,resnet50,robust_scaling,mixup,global_policy_float16,32,90-5-5,0.0008,cosine,0.99,SGD,jit_compilation,23792612,0.019,0.019655,0.01883,112.62692307692306
099,resnet50,standardization,mixup,float64,128,90-5-5,0.0008,exponential,0.5,RMSProp,jit_compilation,23792612,0.839,0.896145,0.817023,145.29019230769228
100,resnet50,standardization,cutmix,global_policy_float16,4,80-10-10,0.0008,cosine,0.0,Adam,pre_quantization,23792612,0.02,0.015275,0.0142,115.54557692307692
101,resnet50,None,None,float32,64,70-15-15,0.00625,polynomial,0.99,AdamW,jit_compilation,23792612,0.028,0.233318,0.025775,167.89903846153842
